SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT,SAMPLE_ID_ÉCHANTILLON,MEAS_LAB_BATCH_ID
"ON02IO5148","2018-10-10 19:15","S.SURFACE","0","-0.03","<","540","540","160","58261","NG/G DWT","DIBUTYL DPA / VANLUBE (C4C4)","DIBUTYL DPA / VANLUBE (C4C4)","P","2018-ON0249-0049","QGF0093"
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","<","690","690","210","58261","NG/G DWT","DIBUTYL DPA / VANLUBE (C4C4)","DIBUTYL DPA / VANLUBE (C4C4)","P","2018-ON0249-0055","QGF0093"
"ON02IO5152","2018-10-11 07:23","S.SURFACE","0","-0.03","<","730","730","220","58261","NG/G DWT","DIBUTYL DPA / VANLUBE (C4C4)","DIBUTYL DPA / VANLUBE (C4C4)","P","2018-ON0249-0056","QGF0093"
"ON02IO5155","2018-10-11 12:01","S.SURFACE","0","-0.03","<","490","490","150","58261","NG/G DWT","DIBUTYL DPA / VANLUBE (C4C4)","DIBUTYL DPA / VANLUBE (C4C4)","P","2018-ON0249-0059","QGF0093"
"ON02IO5211","2018-10-11 13:36","S.SURFACE","0","-0.03","<","480","480","140","58261","NG/G DWT","DIBUTYL DPA / VANLUBE (C4C4)","DIBUTYL DPA / VANLUBE (C4C4)","P","2018-ON0249-0060","QGF0093"
"ON02IO5280","2018-10-11 20:45","S.SURFACE","0","-0.03","<","560","560","170","58261","NG/G DWT","DIBUTYL DPA / VANLUBE (C4C4)","DIBUTYL DPA / VANLUBE (C4C4)","P","2018-ON0249-0065","QGF0093"
"ON02IO5241","2018-10-11 14:46","S.SURFACE","0","-0.03","<","340","340","100","58261","NG/G DWT","DIBUTYL DPA / VANLUBE (C4C4)","DIBUTYL DPA / VANLUBE (C4C4)","P","2018-ON0249-0061","QGF0093"
"ON02IO5243","2018-10-11 16:20","S.SURFACE","0","-0.03","<","450","450","130","58261","NG/G DWT","DIBUTYL DPA / VANLUBE (C4C4)","DIBUTYL DPA / VANLUBE (C4C4)","P","2018-ON0249-0062","QGF0093"
"ON02IO5022","2018-10-09 19:00","S.SURFACE","0","-0.03","<","6.4","6.4","1.9","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0019","QGF0091"
"ON02IO5038","2018-10-09 12:40","S.SURFACE","0","-0.03","<","2.6","2.6","0.79","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0001","QGF0091"
"ON02IO5049","2018-10-10 07:15","S.SURFACE","0","-0.03","<","3.7","3.7","1.1","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0041","QGF0091"
"ON02IO5051","2018-10-10 08:40","S.SURFACE","0","-0.03","<","4.3","4.3","1.3","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0042","QGF0091"
"ON02IO5053","2018-10-10 14:00","S.SURFACE","0","-0.03","<","7.8","7.8","2.4","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0046","QGF0091"
"ON02IO5028","2018-10-11 00:20","S.SURFACE","0","-0.03","<","5.4","5.4","1.6","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0052","QGF0091"
"ON02IO5032","2018-10-11 02:42","S.SURFACE","0","-0.03","<","5.6","5.6","1.7","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0053","QGF0091"
"ON02IO5066","2018-10-13 05:58","S.SURFACE","0","-0.03","<","5","5","1.5","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0069","QGF0091"
"ON02IO5068","2018-10-13 04:30","S.SURFACE","0","-0.03","<","7.4","7.4","2.2","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0068","QGF0091"
"ON02IO5070","2018-10-09 17:00","S.SURFACE","0","-0.03","<","5.4","5.4","1.6","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0018","QGF0091"
"ON02IO5074","2018-10-09 21:00","S.SURFACE","0","-0.03","<","6.7","6.7","2","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0020","QGF0091"
"ON02IO5076","2018-10-09 22:42","S.SURFACE","0","-0.03","<","6.2","6.2","1.9","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0021","QGF0091"
"ON02IO5078","2018-10-10 06:10","S.SURFACE","0","-0.03","<","12","12","3.7","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0040","QGF0091"
"ON02IO5082","2018-10-10 12:53","S.SURFACE","0","-0.03","<","6.6","6.6","2","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0045","QGF0091"
"ON02IO5086","2018-10-10 22:30","S.SURFACE","0","-0.03","<","7.2","7.2","2.1","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0051","QGF0091"
"ON02IO5088","2018-10-10 20:45","S.SURFACE","0","-0.03","<","7","7","2.1","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0050","QGF0092"
"ON02IO5090","2018-10-11 04:13","S.SURFACE","0","-0.03","<","9.4","9.4","2.8","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0054","QGF0092"
"ON02IO5094","2018-10-11 09:15","S.SURFACE","0","-0.03","<","6.8","6.8","2","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0057","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","0","-0.01","<","7.6","7.6","2.3","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0025","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.01","-0.02","<","7.8","7.8","2.4","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0026","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.02","-0.03","<","9.9","9.9","3","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0027","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.03","-0.04","<","7.4","7.4","2.2","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0028","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.04","-0.05","<","5.1","5.1","1.5","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0029","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.05","-0.06","<","7.5","7.5","2.3","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0030","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.06","-0.07","<","8.8","8.8","2.6","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0031","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.07","-0.08","<","6.9","6.9","2.1","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0032","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.08","-0.09","<","10","10","3.1","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0033","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.09","-0.1","<","11","11","3.2","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0034","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.1","-0.11","<","8.2","8.2","2.5","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0035","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.11","-0.12","<","6.1","6.1","1.8","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0036","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.12","-0.13","<","15","15","4.5","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0037","QGF0093"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.13","-0.14","<","5","5","1.5","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0038","QGF0093"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.14","-0.15","<","7.7","7.7","2.3","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0039","QGF0093"
"ON02IO5131","2018-10-13 02:32","S.SURFACE","0","-0.03","<","5.2","5.2","1.6","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0067","QGF0093"
"ON02IO5137","2018-10-10 00:23","S.SURFACE","0","-0.03","<","6.6","6.6","2","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0022","QGF0093"
"ON02IO5139","2018-10-10 02:16","S.SURFACE","0","-0.03","<","9","9","2.7","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0023","QGF0093"
"ON02IO5144","2018-10-10 16:15","S.SURFACE","0","-0.03","<","8.9","8.9","2.7","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0047","QGF0093"
"ON02IO5148","2018-10-10 19:15","S.SURFACE","0","-0.03","<","14","14","4.1","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0049","QGF0093"
"ON02IO5150","2018-10-11 05:47","S.SURFACE","0","-0.03","<","11","11","3.3","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0055","QGF0093"
"ON02IO5152","2018-10-11 07:23","S.SURFACE","0","-0.03","<","7.2","7.2","2.2","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0056","QGF0093"
"ON02IO5155","2018-10-11 12:01","S.SURFACE","0","-0.03","<","10","10","3.1","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0059","QGF0093"
"ON02IO5211","2018-10-11 13:36","S.SURFACE","0","-0.03","<","9.4","9.4","2.8","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0060","QGF0093"
"ON02IO5280","2018-10-11 20:45","S.SURFACE","0","-0.03","<","9","9","2.7","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0065","QGF0093"
"ON02IO5241","2018-10-11 14:46","S.SURFACE","0","-0.03","<","5.2","5.2","1.6","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0061","QGF0093"
"ON02IO5243","2018-10-11 16:20","S.SURFACE","0","-0.03","<","12","12","3.6","58253","NG/G DWT","DIISOPROPYLDIMETHYLE ACRIDAN / PREPOD (PREPOD C2)","DIISOPROPYLDIMÉTHYLE ACRIDAN / PREPOD (PREPOD C2)","P","2018-ON0249-0062","QGF0093"
"ON02IO5022","2018-10-09 19:00","S.SURFACE","0","-0.03","<","7.3","7.3","2.2","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0019","QGF0091"
"ON02IO5038","2018-10-09 12:40","S.SURFACE","0","-0.03","<","8.9","8.9","2.7","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0001","QGF0091"
"ON02IO5049","2018-10-10 07:15","S.SURFACE","0","-0.03","<","6.7","6.7","2","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0041","QGF0091"
"ON02IO5051","2018-10-10 08:40","S.SURFACE","0","-0.03","<","9.8","9.8","2.9","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0042","QGF0091"
"ON02IO5053","2018-10-10 14:00","S.SURFACE","0","-0.03","<","9.3","9.3","2.8","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0046","QGF0091"
"ON02IO5028","2018-10-11 00:20","S.SURFACE","0","-0.03","<","11","11","3.4","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0052","QGF0091"
"ON02IO5032","2018-10-11 02:42","S.SURFACE","0","-0.03","<","8.9","8.9","2.7","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0053","QGF0091"
"ON02IO5066","2018-10-13 05:58","S.SURFACE","0","-0.03","<","5.8","5.8","1.7","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0069","QGF0091"
"ON02IO5068","2018-10-13 04:30","S.SURFACE","0","-0.03","<","8.6","8.6","2.6","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0068","QGF0091"
"ON02IO5070","2018-10-09 17:00","S.SURFACE","0","-0.03","<","6.5","6.5","1.9","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0018","QGF0091"
"ON02IO5074","2018-10-09 21:00","S.SURFACE","0","-0.03","<","9.7","9.7","2.9","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0020","QGF0091"
"ON02IO5076","2018-10-09 22:42","S.SURFACE","0","-0.03","<","9","9","2.7","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0021","QGF0091"
"ON02IO5078","2018-10-10 06:10","S.SURFACE","0","-0.03","<","12","12","3.6","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0040","QGF0091"
"ON02IO5082","2018-10-10 12:53","S.SURFACE","0","-0.03","<","11","11","3.4","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0045","QGF0091"
"ON02IO5086","2018-10-10 22:30","S.SURFACE","0","-0.03","<","12","12","3.7","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0051","QGF0091"
"ON02IO5088","2018-10-10 20:45","S.SURFACE","0","-0.03","<","13","13","4","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0050","QGF0092"
"ON02IO5090","2018-10-11 04:13","S.SURFACE","0","-0.03","<","10","10","3","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0054","QGF0092"
"ON02IO5094","2018-10-11 09:15","S.SURFACE","0","-0.03","<","9.1","9.1","2.7","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0057","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","0","-0.01","<","11","11","3.4","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0025","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.01","-0.02","<","11","11","3.4","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0026","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.02","-0.03","<","13","13","3.9","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0027","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.03","-0.04","<","13","13","3.9","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0028","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.04","-0.05","<","12","12","3.6","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0029","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.05","-0.06","<","12","12","3.7","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0030","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.06","-0.07","<","11","11","3.2","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0031","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.07","-0.08","<","13","13","3.9","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0032","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.08","-0.09","<","13","13","3.8","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0033","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.09","-0.1","<","12","12","3.6","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0034","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.1","-0.11","<","13","13","3.9","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0035","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.11","-0.12","<","14","14","4.1","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0036","QGF0092"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.12","-0.13","<","10","10","3.1","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0037","QGF0093"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.13","-0.14","<","9.1","9.1","2.7","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0038","QGF0093"
"ON02IO5108","2018-10-10 03:26","S.CORE","-0.14","-0.15","<","10","10","3","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0039","QGF0093"
"ON02IO5131","2018-10-13 02:32","S.SURFACE","0","-0.03","<","8.7","8.7","2.6","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0067","QGF0093"
"ON02IO5137","2018-10-10 00:23","S.SURFACE","0","-0.03","<","12","12","3.7","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0022","QGF0093"
"ON02IO5139","2018-10-10 02:16","S.SURFACE","0","-0.03","<","15","15","4.5","58263","NG/G DWT","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","DIMETHYL-DISTYRENATED DPA / NAUGALUBE (NAUGALUBE)","P","2018-ON0249-0023","QGF0093"
